idx,m_2
0,512000000
1,128000000
2,64000000
3,128000000
4,128000000
5,128000000
6,256000000
7,128000000
8,128000000
9,128000000
10,128000000
11,128000000
12,512000000
13,256000000
14,128000000
15,128000000
16,256000000
17,256000000
18,256000000
19,256000000
20,256000000
21,256000000
22,256000000
23,256000000
24,512000000
25,256000000
26,512000000
27,256000000
28,256000000
29,256000000
30,256000000
31,256000000
32,256000000
33,256000000
34,512000000
35,256000000
36,1000000000
37,512000000
38,512000000
39,512000000
40,512000000
41,512000000
42,512000000
43,512000000
44,512000000
45,1000000000
46,512000000
47,512000000
48,4000000000
49,4000000000
50,4000000000
51,4000000000
52,4000000000
53,4000000000
54,4000000000
55,4000000000
56,4000000000
57,4000000000
58,4000000000
59,4000000000
60,4000000000
